cte	speed	angle	d_error	i_error	p_error	steering_angle	throttle	
0.7404	2.22	-4.3379	0.0	52.0498	0.7404	-0.2001298	0.5998702	
0.7391	2.3071	-4.3534	-0.00129999999999997	52.7889	0.7391	-0.1928089	0.6071911	
0.7377	2.3891	-4.5669	-0.00139999999999996	53.5266	0.7377	-0.1926666	0.6073334	
0.7377	2.3891	-4.5669	0.0	54.2643	0.7377	-0.2018043	0.5981957	
0.7363	2.4855	-4.3803	-0.00140000000000007	55.0006	0.7363	-0.1938606	0.6061394	
0.7363	2.4855	-4.3803	0.0	55.7369	0.7363	-0.2029969	0.5970031	
0.7347	2.5916	-4.4102	-0.00159999999999993	56.4716	0.7347	-0.1938116	0.6061884	
0.7347	2.5916	-4.4102	0.0	57.2063	0.7347	-0.2041463	0.5958537	
0.7331	2.6854	-4.409	-0.00160000000000005	57.9394	0.7331	-0.1949594	0.6050406	
0.7314	2.796	-4.6673	-0.00169999999999992	58.6708	0.7314	-0.1947508	0.6052492	
0.7314	2.796	-4.6673	0.0	59.4022	0.7314	-0.2056822	0.5943178	
0.7296	2.9098	-4.4324	-0.00180000000000002	60.1318	0.7296	-0.1952518	0.6047482	
0.7296	2.9098	-4.4324	0.0	60.8614	0.7296	-0.2067814	0.5932186	
0.7277	3.0165	-4.445	-0.00190000000000001	61.5891	0.7277	-0.1957291	0.6042709	
0.7277	3.0165	-4.445	0.0	62.3168	0.7277	-0.2078568	0.5921432	
0.7258	3.1222	-4.4569	-0.00190000000000001	63.0426	0.7258	-0.1968026	0.6031974	
0.7237	3.2332	-4.7601	-0.00209999999999999	63.7663	0.7237	-0.1959063	0.6040937	
0.7237	3.2332	-4.7601	0.0	64.49	0.7237	-0.20923	0.59077	
0.7215	3.3415	-4.4613	-0.00219999999999998	65.2115	0.7215	-0.1963115	0.6036885	
0.7215	3.3415	-4.4613	0.0	65.933	0.7215	-0.210233	0.589767	
0.7192	3.4657	-4.4715	-0.00230000000000008	66.6522	0.7192	-0.1966922	0.603307800000001	
0.7192	3.4657	-4.4715	0.0	67.3714	0.7192	-0.2112114	0.5887886	
0.7169	3.5802	-4.481	-0.00229999999999997	68.0883	0.7169	-0.1976683	0.6023317	
0.7144	3.703	-4.844	-0.00249999999999995	68.8027	0.7144	-0.1966827	0.6033173	
0.7144	3.703	-4.844	0.0	69.5171	0.7144	-0.2123971	0.5876029	
0.7117	3.8212	-4.4807	-0.00270000000000004	70.2288	0.7117	-0.1963688	0.6036312	
0.7117	3.8212	-4.4807	0.0	70.9405	0.7117	-0.2132805	0.5867195	
0.709	3.9521	-4.4729	-0.00270000000000004	71.6495	0.709	-0.1972495	0.6027505	
0.7061	4.0748	-4.8957	-0.00290000000000001	72.3556	0.7061	-0.1961756	0.6038244	
0.7061	4.0748	-4.8957	0.0	73.0617	0.7061	-0.2142817	0.5857183	
0.7061	4.0748	-4.8957	0.0	73.7678	0.7061	-0.2149878	0.5850122	
0.7031	4.2035	-4.9207	-0.003	74.4709	0.7031	-0.1970909	0.6029091	
0.7031	4.2035	-4.9207	0.0	75.174	0.7031	-0.215794	0.584206	
0.6999	4.3364	-4.4909	-0.00319999999999998	75.8739	0.6999	-0.1966539	0.6033461	
0.6966	4.4693	-4.9585	-0.00329999999999997	76.5705	0.6966	-0.1960905	0.6039095	
0.6966	4.4693	-4.9585	0.0	77.2671	0.6966	-0.2165871	0.5834129	
0.6931	4.6057	-4.4659	-0.00349999999999995	77.9602	0.6931	-0.1955802	0.6044198	
0.6895	4.7383	-4.9783	-0.00360000000000005	78.6497	0.6895	-0.1949497	0.6050503	
0.6895	4.7383	-4.9783	0.0	79.3392	0.6895	-0.2172392	0.5827608	
0.6858	4.8745	-4.4374	-0.00370000000000004	80.025	0.6858	-0.194985	0.605015	
0.6858	4.8745	-4.4374	0.0	80.7108	0.6858	-0.2178708	0.5821292	
0.6819	5.0113	-4.4383	-0.00390000000000001	81.3927	0.6819	-0.1943727	0.6056273	
0.6819	5.0113	-4.4383	0.0	82.0746	0.6819	-0.2184546	0.5815454	
0.6779	5.1479	-4.423	-0.004	82.7525	0.6779	-0.1943325	0.6056675	
0.6736	5.2791	-5.025	-0.00429999999999997	83.4261	0.6736	-0.1923461	0.6076539	
0.6736	5.2791	-5.025	0.0	84.0997	0.6736	-0.2188197	0.5811803	
0.6693	5.4146	-4.3723	-0.00429999999999997	84.769	0.6693	-0.192829	0.607171	
0.6693	5.4146	-4.3723	0.0	85.4383	0.6693	-0.2192983	0.5807017	
0.6648	5.551	-4.3844	-0.00450000000000006	86.1031	0.6648	-0.1920631	0.6079369	
0.6648	5.551	-4.3844	0.0	86.7679	0.6648	-0.2197279	0.5802721	
0.6601	5.6871	-4.3652	-0.00469999999999993	87.428	0.6601	-0.191248	0.608752	
0.6601	5.6871	-4.3652	0.0	88.0881	0.6601	-0.2201081	0.5798919	
0.6553	5.8232	-4.3449	-0.00480000000000003	88.7434	0.6553	-0.1910034	0.6089966	
0.6502	5.9529	-5.0664	-0.00509999999999999	89.3936	0.6502	-0.1888336	0.6111664	
0.6502	5.9529	-5.0664	0.0	90.0438	0.6502	-0.2200838	0.5799162	
0.6449	6.0876	-4.2845	-0.00529999999999997	90.6887	0.6449	-0.1878687	0.6121313	
0.6449	6.0876	-4.2845	0.0	91.3336	0.6449	-0.2203136	0.5796864	
0.6395	6.2237	-4.2604	-0.00540000000000007	91.9731	0.6395	-0.1874731	0.6125269	
0.6395	6.2237	-4.2604	0.0	92.6126	0.6395	-0.2205126	0.5794874	
0.6339	6.3597	-4.2505	-0.00559999999999994	93.2465	0.6339	-0.1864265	0.6135735	
0.6339	6.3597	-4.2505	0.0	93.8804	0.6339	-0.2206604	0.5793396	
0.6282	6.4956	-4.2243	-0.00570000000000004	94.5086	0.6282	-0.1859486	0.6140514	
0.6282	6.4956	-4.2243	0.0	95.1368	0.6282	-0.2207768	0.5792232	
0.6222	6.6313	-4.2124	-0.00600000000000001	95.759	0.6222	-0.184199	0.615801	
0.6159	6.7595	-5.0831	-0.00629999999999997	96.3749	0.6159	-0.1817549	0.6182451	
0.6159	6.7595	-5.0831	0.0	96.9908	0.6159	-0.2201708	0.5798292	
0.6095	6.8937	-4.1075	-0.00639999999999996	97.6003	0.6095	-0.1811003	0.6188997	
0.6095	6.8937	-4.1075	0.0	98.2098	0.6095	-0.2201098	0.5798902	
0.6029	7.0299	-4.0912	-0.00660000000000005	98.8127	0.6029	-0.1797927	0.6202073	
0.6029	7.0299	-4.0912	0.0	99.4156	0.6029	-0.2199956	0.5800044	
0.5961	7.166	-4.0585	-0.00680000000000003	100.0117	0.5961	-0.1784317	0.6215683	
0.5889	7.2937	-5.0636	-0.00719999999999998	100.6006	0.5889	-0.1751806	0.6248194	
0.5889	7.2937	-5.0636	0.0	101.1895	0.5889	-0.2189695	0.5810305	
0.5816	7.428	-3.9432	-0.00729999999999997	101.7711	0.5816	-0.1742911	0.6257089	
0.5816	7.428	-3.9432	0.0	102.3527	0.5816	-0.2186727	0.5813273	
0.5741	7.5647	-3.9209	-0.00749999999999995	102.9268	0.5741	-0.1727468	0.6272532	
